workbook_row,state_abbr,city,strict_25,strict_25_60,broad_25,broad_25_60,otp_25,geocode_status,residential_25,residential_25_60,inpatient_25,inpatient_25_60,detox_25,detox_25_60,php_25,php_25_60,iop_25,iop_25_60,adolescent_25,adolescent_25_60,young_adult_25,young_adult_25_60,women_25,women_25_60,men_25,men_25_60,pregnant_25,pregnant_25_60,veterans_25,veterans_25_60,seniors_25,seniors_25_60,criminal_justice_25,criminal_justice_25_60,eating_disorder_25,eating_disorder_25_60,tbi_25,tbi_25_60,first_episode_psychosis_25,first_episode_psychosis_25_60,alzheimers_25,alzheimers_25_60
125,MA,New Bedford,31,152,65,248,5,OK,14,72,7,21,4,39,10,54,10,47,8,27,24,97,25,108,27,115,20,80,27,96,20,99,30,110,6,37,8,39,3,13,3,23
126,MA,Lowell,105,141,170,251,7,OK,40,67,21,18,29,33,46,45,34,45,16,24,73,86,76,102,79,105,58,75,67,99,78,90,67,102,31,33,24,35,20,18,13,17
127,MA,Hyannis,12,65,25,123,1,OK,2,34,3,7,1,14,6,19,7,19,3,16,10,45,6,53,7,52,6,45,9,57,4,46,8,56,1,19,2,21,1,7,3,11
128,MI,Detroit,76,51,167,97,7,OK,24,17,12,8,25,18,13,21,41,27,32,19,66,36,79,47,79,46,56,30,76,38,73,41,90,47,21,9,16,12,16,3,12,4
129,MI,Grand Rapids,18,33,39,77,2,OK,9,8,2,5,7,9,4,4,9,18,3,8,9,24,12,33,9,32,6,17,7,23,5,19,9,33,3,2,0,3,2,3,1,3
130,MI,Ann Arbor,23,129,58,244,2,OK,7,44,4,21,10,41,5,34,10,66,10,46,16,94,23,119,23,116,16,79,15,108,18,106,21,131,6,26,5,26,1,19,4,14
131,MI,Lansing,13,71,24,140,0,OK,3,30,0,12,4,28,1,14,8,30,3,20,6,37,11,62,11,58,5,38,6,41,6,36,12,49,1,12,0,11,0,6,0,9
132,MI,Flint,15,115,29,250,0,OK,6,37,1,17,5,39,5,18,9,60,6,49,13,91,17,121,16,120,9,84,13,106,10,104,16,131,3,31,4,26,0,20,0,19
133,MI,Kalamazoo,15,53,26,112,0,OK,6,21,2,11,5,15,3,7,7,27,2,19,4,38,8,47,9,41,5,20,8,29,6,22,9,47,1,10,1,7,2,8,2,5
134,MI,Traverse City,4,9,8,33,0,OK,3,3,0,2,1,4,2,4,1,7,0,3,1,15,3,14,3,12,2,8,1,13,1,15,3,22,2,10,2,11,1,9,1,6
135,MI,Saginaw,12,37,26,85,0,OK,3,9,2,4,3,12,0,7,7,22,3,14,8,29,15,38,13,35,9,24,11,31,10,29,15,42,7,11,7,11,4,3,4,3
136,MN,Minneapolis,164,52,226,77,4,OK,52,18,10,5,14,4,63,14,98,32,24,13,78,24,71,19,77,27,45,8,50,18,50,21,68,22,13,6,14,6,7,2,1,1
137,MN,St Paul,165,42,227,67,4,OK,53,15,10,4,14,4,60,16,99,23,23,12,76,22,69,17,77,21,44,8,48,15,49,18,67,19,13,5,14,5,7,2,1,1
138,MN,Rochester,17,26,22,47,1,OK,7,10,1,2,0,1,2,4,12,16,3,10,6,11,12,8,12,13,4,3,7,7,4,10,9,10,1,4,1,2,0,3,1,1
139,MN,Duluth,37,11,41,17,0,OK,13,1,0,1,2,1,13,6,19,9,5,1,11,5,16,10,13,9,8,1,16,4,8,3,18,9,7,1,6,2,3,2,2,0
140,MN,St Cloud,20,126,27,165,1,OK,9,42,3,10,3,9,6,41,11,77,3,27,14,47,13,46,15,52,8,35,14,36,13,31,12,48,4,12,5,6,0,3,0,0
141,MS,Jackson,20,13,28,21,0,OK,8,5,5,2,7,3,6,8,10,3,6,5,11,14,15,10,12,10,12,5,13,12,11,13,16,12,4,9,5,7,6,5,5,8
142,MS,Gulfport,5,23,8,35,0,OK,3,7,2,7,3,9,2,8,3,7,1,4,4,13,3,15,4,15,4,11,7,12,6,17,6,13,3,8,1,5,1,7,0,5
143,MS,Hattiesburg,6,12,9,24,0,OK,2,4,0,3,0,5,3,6,1,4,0,4,3,10,2,8,3,9,1,5,4,13,4,14,6,11,2,9,2,6,1,5,2,5
144,MS,Tupelo,3,17,8,27,0,OK,1,5,0,2,1,2,0,10,2,3,1,9,1,11,1,6,1,6,1,2,1,12,1,11,1,8,1,7,1,6,0,7,0,2
145,MO,St Louis,51,18,84,39,1,OK,17,6,10,5,12,5,19,6,29,12,7,2,36,7,30,9,29,7,14,4,24,8,27,10,23,7,6,0,2,1,1,0,9,2
146,MO,Kansas City,55,28,91,41,1,OK,18,14,6,4,7,10,12,7,37,15,18,5,42,15,30,18,33,16,19,13,33,15,35,15,50,18,9,5,8,2,10,4,1,6
147,MO,Springfield,15,12,22,26,0,OK,7,3,2,2,3,2,4,4,9,7,2,5,10,11,13,11,11,13,4,7,5,10,3,11,8,10,2,3,2,2,2,1,2,1
148,MO,Columbia,8,8,20,21,1,OK,4,3,3,2,3,0,2,0,5,4,2,3,5,4,6,6,5,7,3,0,4,2,5,5,5,6,1,3,1,1,1,2,1,0
149,MO,Joplin,7,13,23,30,2,OK,5,4,1,3,3,2,1,2,4,8,6,8,9,11,14,11,12,14,10,9,16,14,15,11,14,16,4,7,0,4,3,3,0,2
150,MO,St Joseph,6,59,8,93,0,OK,2,20,1,7,3,8,1,10,1,40,1,20,1,40,4,33,4,36,2,19,2,31,1,37,2,49,1,10,0,6,1,10,0,2
